molecule_id,final_score,epoch_number,target_protein,miner_uid,smiles,miner_hotkey,miner_coldkey,created_at
rxn:1:60111:44033,0.982928,,,,,,,
rxn:1:60111:90299,0.971444,,,,,,,
rxn:1:60111:123709,0.941304,,,,,,,
rxn:1:60111:182998,0.906227,,,,,,,
rxn:1:60111:182994,0.878357,,,,,,,
rxn:1:60111:185180,0.845668,,,,,,,
rxn:1:60111:60689,0.791239,,,,,,,
rxn:1:60111:44076,0.771604,,,,,,,
rxn:1:60111:192299,0.771345,,,,,,,
rxn:1:60111:144951,0.742876,,,,,,,
rxn:1:60111:24409,0.732943,,,,,,,
rxn:1:60111:44092,0.712256,,,,,,,
rxn:1:60111:44090,0.704726,,,,,,,
rxn:1:60111:202998,0.698812,,,,,,,
rxn:1:60111:44020,0.689148,,,,,,,
rxn:1:60111:96308,0.668604,,,,,,,
rxn:1:60111:44018,0.660902,,,,,,,
rxn:1:60111:24407,0.644147,,,,,,,
rxn:1:60111:116962,0.637123,,,,,,,
rxn:1:60111:66138,0.629996,,,,,,,
rxn:1:60111:79006,0.59839,,,,,,,
rxn:1:60111:124160,0.59149,,,,,,,
rxn:1:60111:44084,0.56787,,,,,,,
rxn:1:60111:29977,0.565167,,,,,,,
rxn:1:60111:127792,0.560213,,,,,,,
rxn:1:60111:114409,0.555983,,,,,,,
rxn:1:60111:44055,0.551799,,,,,,,
rxn:1:60111:173167,0.544673,,,,,,,
rxn:1:60111:129440,0.541611,,,,,,,
rxn:1:60111:129960,0.53518,,,,,,,
rxn:1:60111:173156,0.5342,,,,,,,
rxn:1:60111:60670,0.522506,,,,,,,
rxn:1:60111:156440,0.52019,,,,,,,
rxn:1:60111:129194,0.517731,,,,,,,
rxn:1:60111:0,0.517046,,,,,,,
rxn:1:60111:153299,0.475529,,,,,,,
rxn:1:60111:57672,0.45511,,,,,,,
rxn:1:60111:45275,0.451437,,,,,,,
rxn:1:60111:160212,0.440772,,,,,,,
rxn:1:60111:104220,0.415248,,,,,,,
rxn:1:60111:179252,0.413469,,,,,,,
rxn:1:60111:44048,0.410916,,,,,,,
rxn:1:60111:74299,0.410549,,,,,,,
rxn:1:60111:44014,0.39293,,,,,,,
rxn:1:60111:229346,0.389925,,,,,,,
rxn:1:60111:91440,0.385348,,,,,,,
rxn:1:60111:44017,0.384031,,,,,,,
rxn:1:60111:44406,0.375832,,,,,,,
rxn:1:60111:44046,0.36457,,,,,,,
rxn:1:60111:47440,0.338559,,,,,,,
rxn:1:60111:43299,0.329419,,,,,,,
rxn:1:60111:116977,0.317007,,,,,,,
rxn:1:60111:27695,0.316978,,,,,,,
rxn:1:60111:88952,0.310058,,,,,,,
rxn:1:60111:179440,0.306585,,,,,,,
rxn:1:60111:44404,0.287086,,,,,,,
rxn:1:60111:162440,0.28388,,,,,,,
rxn:1:60111:44080,0.26068,,,,,,,
rxn:1:60111:129939,0.255725,,,,,,,
rxn:1:60111:84408,0.252455,,,,,,,
rxn:1:60111:79283,0.250844,,,,,,,
rxn:1:60111:82378,0.238986,,,,,,,
rxn:1:60111:145440,0.235571,,,,,,,
rxn:1:60111:128299,0.221901,,,,,,,
rxn:1:60111:44019,0.211479,,,,,,,
rxn:1:60111:187299,0.210053,,,,,,,
rxn:1:60111:58593,0.208892,,,,,,,
rxn:1:60111:129911,0.196614,,,,,,,
rxn:1:60111:39851,0.1891707273629996,23169.0,Q4QQW4,51.0,NC(c1cn(I)nn1)c1cccs1,5ED6e5fK6saqypJsB5UL8NbDiMvAn21KLSe77GeSp9c1wfQR,5GZDZJZok82n7cY7XZ3M77WjfCowWwAVaCRk9pNXGtnN4zzx,2026-06-08T21:41:10+00:00
rxn:1:60111:82994,0.187704,,,,,,,
rxn:1:60111:29962,0.1830433377852807,23169.0,Q4QQW4,43.0,CCC(O)C(C)(O)c1cn(I)nn1,5C7nC15ebbcwAmhUP18pV1zhKiXAswK9MKLFkFFTMzm3mwpy,5DDSVRzLJ9ysTGSYe86QxBJBZ2dtktj9abdgxDXJ8Z6SrBdY,2026-06-08T21:41:10+00:00
rxn:1:60111:31299,0.179876,,,,,,,
rxn:1:60111:7586,0.178277,,,,,,,
rxn:1:60111:142997,0.173434,,,,,,,
rxn:1:41711:23825,0.1709862521716527,23169.0,Q4QQW4,45.0,Brc1cc(I)ccc1-n1cc(C2(n3ccnc3)CC2)nn1,5GnaLUR9kQKNoJvcmyMSyTdgSmSCHnVuxo41Ut8TkWUBoSRc,5EvpaL11ef7DmbyH7JZvRypq4mRVDuBNUVVMjhsnMU8GdDy5,2026-06-08T21:41:10+00:00
rxn:1:60111:134408,0.166962,,,,,,,
rxn:1:60111:208299,0.164368,,,,,,,
rxn:1:60111:1954,0.1642279369490487,23169.0,Q4QQW4,39.0,CNc1ncc(-c2cn(I)nn2)cn1,5FLFxfZHgSdKfUCiCfSGainQohZx96Nn7NigoqWrRBfs4tQ8,5ExiQCRMeekU5w4RNfL6AsxgQZjcpTBseNZLPW5Zfgyh7pJd,2026-06-08T21:41:10+00:00
rxn:1:60111:32728,0.1593042353789012,23189.0,Q4QQW4,38.0,F[C@]12CCC[C@]1(c1cn(I)nn1)CNC2,5FEumR4bePnD8wbXUEQTQKGWgqrh3CSRKFgv3kHA8hjnMVfp,5F1RWsGeB9MbEeDi7yAmW2FpyUQi3AZ6uuqt7RbSE5DjpHQH,2026-06-09T21:45:13+00:00
